station_id,station_class,mean_lon,mean_lat,std_lon,std_lat,line_id,line_name
1,F,-80.12341705,25.64444604,0.01403726,0.002976931,SV,Stiltsville
2,C,-80.10413062,25.6413099,0.005114698,0.001193032,SV,Stiltsville
3,F,-80.08316964,25.64361667,0.003261776,0.00921703,SV,Stiltsville
4,F,-80.37824972,25.10857382,0.006086238,0.002616001,MR,Molasses Reef
5,F,-80.35535576,25.09325138,0.002767291,0.001991116,MR,Molasses Reef
5.5,F,-80.33251305,25.07923835,0.001695223,0.00106281,MR,Molasses Reef
6,F,-80.31475053,25.06401955,0.002556733,0.003984865,MR,Molasses Reef
6.5,F,-80.28764395,25.04925643,0.001768564,0.002405662,MR,Molasses Reef
7,C,-80.75504122,24.81754992,0.003949952,0.003313635,MM72,Craig Key
8,C,-80.74202444,24.79212366,0.003711361,0.0024481,MM72,Craig Key
9,C,-80.72285462,24.76243855,0.002114298,0.001610526,MM72,Craig Key
9.5,C,-80.69014048,24.71707432,0.002246221,0.00220978,MM72,Craig Key
10,C,-80.86099568,24.78725755,0.002403795,0.002979379,MM64,Conch Reef
11,F,-80.84716586,24.75285336,0.002269466,0.002176534,MM64,Conch Reef
12,C,-80.83154854,24.71338082,0.0024282,0.004457479,MM64,Conch Reef
13,F,-81.02980298,24.70056451,0.001784014,0.002891498,MA,Marathon
14,F,-81.02350603,24.67539148,0.002528968,0.002323253,MA,Marathon
15,F,-81.0170348,24.64327067,0.003878569,0.002252776,MA,Marathon
15.5,F,-80.99161393,24.59257866,0.001653482,0.002514162,MA,Marathon
16,C,-81.19668555,24.67085405,0.030526518,0.002757411,MO,Money Key Channel
17,F,-81.19330819,24.63588426,0.002069892,0.002464359,MO,Money Key Channel
18,C,-81.18257654,24.59614772,0.003409156,0.007280373,MO,Money Key Channel
19,F,-81.41814388,24.62989344,0.019000641,0.145415955,LK,Looe Key
20,F,-81.41906256,24.57095677,0.001920046,0.023988996,LK,Looe Key
21.5,F,-81.39037088,24.48287964,0.004539918,0.005319712,LK,Looe Key
22,F,-81.82898645,24.45534642,0.000970424,0.00352742,KWS,Key West South
22.5,F,-81.8272192,24.39797578,0.007929747,0.003123168,KWS,Key West South
23,F,-81.82847248,24.48682544,0.001022564,0.002645468,KWS,Key West South
24,F,-81.8281742,24.53692959,0.00268251,0.002111688,KWS,Key West South
WS,C,-81.71648803,24.47682117,0.00303075,0.001834931,KWS,Key West South
30,C,-82.2103509,25.40183195,0.002445253,0.003384328,MI,Marco Island
30.5,F,-82.07523414,25.57135574,0.00332446,0.003035438,MI,Marco Island
31,C,-81.9432244,25.74165777,0.002410954,0.003161028,MI,Marco Island
32,F,-81.83325878,25.87246674,0.003455914,0.003828352,MI,Marco Island
33,C,-81.80027068,25.91131827,0.002237694,0.001449451,MI,Marco Island
34,F,-81.76810026,25.94949731,0.001662233,0.002117406,MI,Marco Island
39,F,-81.48382159,25.78038853,0.004136183,0.003630865,EGC,Everglades City
40,F,-81.52297388,25.75875313,0.002867431,0.002797764,EGC,Everglades City
41,C,-81.57489795,25.7326592,0.002596861,0.001485557,EGC,Everglades City
42,F,-81.71799636,25.65593882,0.012755538,0.002256205,EGC,Everglades City
45,C,-81.47098825,25.58282347,0.002207468,0.001883343,LO,Lostmans Key
46,F,-81.40891816,25.58275361,0.003285668,0.001395035,LO,Lostmans Key
47,C,-81.36802047,25.58258184,0.006863704,0.00128568,LO,Lostmans Key
48,F,-81.33050757,25.58251441,0.006630097,0.001303663,LO,Lostmans Key
49,C,-81.29457605,25.58241138,0.007311214,0.001512474,LO,Lostmans Key
50,F,-81.34930629,25.45378785,0.002879768,0.003366905,BR,Broad River
51,C,-81.30840708,25.45273257,0.002065145,0.001710011,BR,Broad River
52,F,-81.26162169,25.45276331,0.006230994,0.001326201,BR,Broad River
53,C,-81.22937579,25.45247814,0.006162144,0.00182688,BR,Broad River
54,C,-81.1553006,25.34232344,0.003143826,0.002946445,SR,Shark River
55,C,-81.19784389,25.35021777,0.011039076,0.000865197,SR,Shark River
56,C,-81.22801767,25.34997674,0.001744713,0.000715704,SR,Shark River
57,C,-81.26772336,25.3557443,0.01463238,0.032517625,SR,Shark River
57.1,C,-81.37570595,25.39583797,0.202999549,0.238836434,SR,Shark River
57.2,C,-81.48767957,25.35118281,0.027214738,0.002094337,SR,Shark River
57.3,C,-81.65235493,25.35081116,0.004638633,0.002420129,SR,Shark River
58,C,-81.64856009,25.17276065,0.037569892,0.048410555,MC,Middle Cape
59,F,-81.48883533,25.16697025,0.006402449,0.00164563,MC,Middle Cape
60,C,-81.33662983,25.16689005,0.002494324,0.001931129,MC,Middle Cape
61,F,-81.2744376,25.16726456,0.002546442,0.001366587,MC,Middle Cape
62,F,-81.23540332,25.16739878,0.002803844,0.001392013,MC,Middle Cape
63,F,-81.20114316,25.16727775,0.005756779,0.001408855,MC,Middle Cape
64,C,-81.16019574,25.16609316,0.004843317,0.003296461,MC,Middle Cape
65,C,-81.09518025,25.09798948,0.002839714,0.003795385,EC,East Cape
66,F,-81.10902591,25.0683958,0.001651659,0.003122172,EC,East Cape
67,F,-81.12709288,25.0302082,0.00192075,0.000945681,EC,East Cape
68,C,-81.16738509,24.93020389,0.001900747,0.00125358,EC,East Cape
69,F,-81.0948981,24.92994355,0.002878963,0.00079249,EC,East Cape
70,F,-81.0316068,24.92981729,0.010572784,0.001081405,EC,East Cape
21/LK,C,-81.41328322,24.53641396,0.001408139,0.000397123,LK,Looe Key
AMI1,C,-82.75084615,27.49692308,0.001826304,0.002261381,AMI,Anna Maria Island
AMI2,C,-82.84516129,27.45664516,0.003163298,0.008312835,AMI,Anna Maria Island
AMI3,C,-82.9388125,27.42090625,0.002161802,0.002933229,AMI,Anna Maria Island
AMI4,C,-83.03234483,27.38117241,0.002729153,0.001536902,AMI,Anna Maria Island
AMI5,C,-83.12776667,27.34136667,0.003530003,0.003242852,AMI,Anna Maria Island
AMI6,C,-83.22126667,27.30526667,0.002083322,0.003331494,AMI,Anna Maria Island
AMI7,C,-83.3159375,27.26465625,0.00346352,0.004680842,AMI,Anna Maria Island
AMI8,C,-83.41025806,27.2283871,0.001264061,0.001256382,AMI,Anna Maria Island
AMI9,C,-83.501625,27.1888125,0.002959403,0.001958233,AMI,Anna Maria Island
BG1,C,-82.25532,26.7156,0.007069418,0.004173328,BG,Boca Grande
BG10,C,-83.507118,26.359134,0,0,BG,Boca Grande
BG11,C,-83.65339,26.3175105,0,0,BG,Boca Grande
BG12,C,-83.8077525,26.2722185,0,0,BG,Boca Grande
BG13,C,-83.960995,26.22852383,0,0,BG,Boca Grande
BG14,C,-84.11517,26.1825875,0,0,BG,Boca Grande
BG15,C,-84.260397,26.13691133,0,0,BG,Boca Grande
BG15B,C,-84.260397,26.13691133,0,0,BG,Boca Grande
BG16,C,-84.4190355,26.09321533,0,0,BG,Boca Grande
BG17,C,-84.57240667,26.047653,0,0,BG,Boca Grande
BG17B,C,-84.57240667,26.047653,0,0,BG,Boca Grande
BG18,C,-84.71907917,26.01255317,0,0,BG,Boca Grande
BG2,C,-82.33994737,26.689,0.000517132,0.001273429,BG,Boca Grande
BG20,C,-85.0221065,25.93506617,0,0,BG,Boca Grande
BG3,C,-82.41866667,26.66823077,0.002068986,0.002600218,BG,Boca Grande
BG4,C,-82.5568,26.62995,0.00339834,0.000932325,BG,Boca Grande
BG6,C,-82.869857,26.54381183,0,0,BG,Boca Grande
BG7,C,-83.03672017,26.49434183,0,0,BG,Boca Grande
BG7B,C,-83.03672017,26.49434183,0,0,BG,Boca Grande
BG8,C,-83.19204283,26.44981,0,0,BG,Boca Grande
BG9,C,-83.34533117,26.40614767,0,0,BG,Boca Grande
CAL1,C,-81.96013708,26.42516029,0.001872843,0.004177528,CAL,Caloosahatchee River
CAL2,C,-82.00011999,26.38237588,0.00106516,0.002027584,CAL,Caloosahatchee River
CAL3,C,-82.04470616,26.34104675,0.003551764,0.0014406,CAL,Caloosahatchee River
CAL4,C,-82.13910309,26.25316155,0.001354494,0.002779527,CAL,Caloosahatchee River
CAL5,C,-82.21722899,26.18293435,0.002921872,0.002702743,CAL,Caloosahatchee River
CAL6,C,-82.48079487,25.94020513,0.002418998,0.001435994,CAL,Caloosahatchee River
CW1,C,-82.85194217,28.01092883,0.006575444,0.00155897,CW,Clearwater
CW2,C,-82.8904148,28.0178416,0.002391521,0.001527657,CW,Clearwater
CW3,C,-82.96031582,28.01094455,0.001379898,0.001395787,CW,Clearwater
CW4,C,-83.0790218,28.0127286,0.00163364,0.004005195,CW,Clearwater
CW5,C,-83.23918329,28.01126977,0.001423167,0.00088017,CW,Clearwater
CW6,C,-83.40551235,28.01164115,0.003105921,0.000439037,CW,Clearwater
CW7,C,-83.5681521,28.01186304,0.00101207,0.000376844,CW,Clearwater
EB1,C,-82.38,26.92,0,0,EB,Englewood Beach
EB2,C,-82.54,26.92,0,0,EB,Englewood Beach
EK_IN,F,-80.22137026,25.33315441,0.010161076,0.00706355,EK,Elliot Key
EK_MID,F,-80.19405628,25.31392906,0.002745936,0.002311025,EK,Elliot Key
EK_OFF,F,-80.16460368,25.29587691,0.01015624,0.007351136,EK,Elliot Key
GP5,C,-82.69651907,26.59529832,0.003942568,0.00332247,BG,Boca Grande
KW1,C,-81.90443499,24.6541498,0.003310334,0.003544343,KWN,Key West North
KW2,C,-81.91809333,24.72857301,0.002609694,0.001793372,KWN,Key West North
KW3,F,-81.95777709,24.82287092,0.004348907,0.004856685,KWN,Key West North
KW4,C,-82.04573671,25.01214549,0.02081539,0.002790795,KWN,Key West North
L1,C,-82.6,27.304,0,0,L,Lido Key
L3,C,-82.77,27.223,0,0,L,Lido Key
L5,C,-82.95,27.139,0,0,L,Lido Key
L7,C,-83.13,27.055,0,0,L,Lido Key
L9,C,-83.3124,26.9714,0.00219089,0.000547723,L,Lido Key
MR,C,-80.37441895,25.00576611,0.004608672,0.002914457,MR,Molasses Reef
PLUME,C,-80.204,24.938,0,0,PL,PLUME
ROME4,C,-82.92165639,27.65014176,0.000724862,0.000793549,RO,ROME
ROME5,C,-82.83839213,27.65032209,0.001824124,0.001239727,RO,ROME
RP1,C,-82.21767884,26.54695871,0.002265223,0.002879085,RP,Redfish Pass
RP2,C,-82.25712392,26.55187544,0.002811263,0.001594814,RP,Redfish Pass
RP3,C,-82.33117997,26.55062371,0.00112042,0.000894233,RP,Redfish Pass
RP4,C,-82.49931508,26.57845719,0.00123493,0.001447571,RP,Redfish Pass
TB1,C,-82.8823389,27.79918265,0.005368344,0.006635342,TB,Tampa Bay
TB10,C,-83.48859375,27.61721875,0.002045599,0.002561934,TB,Tampa Bay
TB2,C,-82.92778578,27.73709832,0.00548888,0.011187729,TB,Tampa Bay
TB3,C,-82.99955551,27.67244849,0.001642364,0.002692121,TB,Tampa Bay
TB4,C,-83.13218732,27.61768279,0.002798473,0.002640996,TB,Tampa Bay
TB5,C,-83.29935568,27.61822076,0.002456805,0.001634787,TB,Tampa Bay
TB6,C,-82.857834,27.840544,0.001875811,0.000471118,TB,Tampa Bay
TB7,C,-82.9416625,27.8402715,0.00191969,0.000313501,TB,Tampa Bay
TB8,C,-83.0279915,27.842151,0.002319216,0.002483761,TB,Tampa Bay
TB9,C,-83.1360208,27.8394908,0.005448744,0.000697251,TB,Tampa Bay
UK_IN,F,-80.56500454,24.9341299,0.004578062,0.003510807,UK,Upper Keys
UK_MID,F,-80.54600172,24.91917271,0.005931293,0.008339441,UK,Upper Keys
UK_OFF,F,-80.52974079,24.89845496,0.00234691,0.000916143,UK,Upper Keys
V1,C,-82.4795619,27.10988429,0.001579632,0.001317111,V,Venice
V2,C,-82.54736068,27.07121538,0.002867063,0.001171715,V,Venice
V3,C,-82.61513514,27.03313514,0.005000901,0.002869012,V,Venice
V4,C,-82.68398917,26.99240825,0.003661847,0.002164443,V,Venice
V5,C,-82.7512973,26.95545946,0.003777601,0.003594707,V,Venice
V6,C,-82.82013915,26.91700385,0.001463677,0.003092268,V,Venice
V7,C,-82.8887027,26.87816216,0.00231978,0.002533262,V,Venice
V8,C,-82.95832432,26.83145946,0.002381107,0.001804233,V,Venice
V9,C,-83.10212821,26.73064103,0.004347894,0.001646163,V,Venice